,id,year,input_x,id2,year2,input_y,relationship,relationship_v2,penjelasan
515,2017-b5_r5a2,2017,"<blok> Kegiatan satu minggu dan satu bulan yang lalu </blok><pertanyaan> Selama seminggu terakhir, Apakah (NAMA) sekolah? </pertanyaan>",2020-r31a,2020,"<blok> Aktivitas lain </blok><pertanyaan> Dalam tujuh hari terakhir, apakah Anda menempuh pendidikan? </pertanyaan>",equivalent,equivalen,Keduanya menyatakan aktivitas selama 7 hari terakhir dan menanyakan apakah seseorang menempuh pendidikan pada periode tersebut.
182,2010-HUB,2010,<blok> Detail anggota keluarga </blok><pertanyaan> Hubungan dengan pemimpin rumah tangga (kode) </pertanyaan>,2020-k3,2020,<blok> Rincian anggota keluarga </blok><pertanyaan> Koneksi dengan Kepala Rumah Tangga (tuliskan kode) </pertanyaan>,equivalent,equivalen,"Kedua frasa tersebut bersifat semantik serupa karena:

1. **“Detail / Rincian / Keterangan / Daftar”** semua merujuk pada informasi mengenai anggota keluarga.
2. **“Hubungan / Koneksi”** sama-sama menunjukkan hubungan antara anggota dengan kepala rumah tangga.
3. **“pemimpin rumah tangga / Kepala Rumah Tangga”** adalah sinonim yang merujuk pada orang yang memimpin rumah tangga.
4. **“kode / tuliskan kode”** merupakan instruksi untuk menyebutkan kode identifikasi kepala rumah tangga."
577,2010-B5P12A,2010,<blok> Pekerjaan utama </blok><pertanyaan> Berapa total upah bersih yang diterima (NAMA) dalam sebulan terakhir dari pekerjaan utama? (dalam uang)  </pertanyaan>,2017-b5_r30c21,2017,"<blok> Pekerjaan pokok </blok><pertanyaan> Gaji lembur, tunjangan transportasi, dan uang makan: (uang) </pertanyaan>",lebih umum dari,lebih agregat,"Karena pertanyaan pertama meminta total upah bersih dalam uang, sementara pertanyaan kedua meminta komponen (lembur, transportasi, makan), sehingga pertama lebih agregat."
1312,2017-b5_r19i,2017,"<blok> Aktivitas mencari pekerjaan/mempersiapkan usaha </blok>
<pertanyaan> Langkah apa yang diambil (NAMA) dalam upaya mencari pekerjaan atau mempersiapkan usaha selama seminggu/seminggu terakhir? Selain itu, harap tuliskan: </pertanyaan>",2017-b5_r26a2,2017,"<blok> Tugas utama </blok><pertanyaan> Pada minggu terakhir, berapa jam kerja harian Anda setelah dikurangi waktu istirahat? Selasa : </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Karena satu berfokus pada aktivitas mencari pekerjaan atau mempersiapkan usaha (perencanaan, upaya, dan tindakan non‑pekerjaan), sedangkan yang lain mengukur jam kerja harian pada pekerjaan utama (penghitungan waktu kerja dan istirahat). Kedua pertanyaan tersebut mengumpulkan data berbeda dan tidak saling mempengaruhi."
50,2010-B5P21,2010,<blok> Aktivitas pencarian kerja atau persiapan usaha </blok><pertanyaan> Pekerjaan yang dipertimbangkan atau usaha yang sedang disiapkan: </pertanyaan>,2012-B5P22,2012,<blok> Kegiatan mencari kerja/mempersiapkan bisnis </blok><pertanyaan> Pekerjaan yang diincar atau usaha yang sedang disiapkan: </pertanyaan>,equivalent,equivalen,"Keduanya menyatakan aktivitas mencari pekerjaan atau menyiapkan usaha dengan makna yang sama; istilah “aktivitas”, “kegiatan”, “mencari”, “mencari kerja”, “mencari pekerjaan”, “mencari”, “mempersiapkan”, “menyiapkan” bersifat sinonim; kata “usaha”, “bisnis” juga sinonim. Bagian pertanyaan menggunakan sinonim “diincar”, “dicari”, “disiapkan”, “dipersiapkan”, sehingga makna keseluruhan identik."
617,2015-B5_R13B,2015,<blok> Pekerjaan utama </blok><pertanyaan> Berapa total gaji bersih yang diterima (NAMA) dalam sebulan terakhir dari pekerjaan utama? (berupa Barang)  </pertanyaan>,2017-b5_r30c12,2017,"<blok> Pekerjaan utama </blok><pertanyaan> Apabila nilai R.27.a adalah 4, berapa pendapatan bersih (NAMA) yang diperoleh dalam satu bulan terakhir dari pekerjaan utama? (barang) </pertanyaan>",lebih umum dari,lebih agregat,"Pertanyaan pertama bersifat agregat karena meminta total gaji bersih, yakni seluruh komponen pendapatan digabungkan, sementara pertanyaan kedua memecah komponen menjadi upah lembur, transportasi, dan makan."
447,2015-B4_K3,2015,<blok> Informasi anggota keluarga </blok><pertanyaan> Hubungan dengan kepala rumah tangga (kode) </pertanyaan>,2020-k3,2020,<blok> Rincian anggota keluarga </blok><pertanyaan> Koneksi dengan Kepala Rumah Tangga (tuliskan kode) </pertanyaan>,equivalent,equivalen,"Kedua kalimat menyatakan informasi yang sama: daftar anggota keluarga dan hubungan mereka dengan kepala rumah tangga diidentifikasi melalui kode. Istilah “informasi”, “rincian”, “keterangan”, dan “daftar” semuanya merujuk pada data anggota keluarga, sementara “hubungan”, “koneksi”, dan “hubungan” dengan “kepala rumah tangga” menyatakan relasi yang sama, yaitu hubungan kode antara anggota dan kepala. Karena makna inti (data anggota dan kode hubungan dengan kepala) identik, kedua frasa tersebut setara secara semantik."
653,2020-r16a3,2020,"<blok> Umum Responden </blok><pertanyaan> Dalam seminggu terakhir, berapa total jam kerja harian Anda setelah mengurangi waktu istirahat? Rabu : </pertanyaan>",2010-B5P6B,2010,<blok> Aktivitas satu minggu terakhir </blok><pertanyaan> Berapa total jam kerja pada semua aktivitas setiap hari dalam minggu terakhir? </pertanyaan>,lebih khusus dari,lebih detail,"Karena pertama menyebutkan “Rabu” secara spesifik, sehingga memecah total jam kerja mingguan menjadi jam per hari, sedangkan yang lain hanya menggabungkan seluruh aktivitas dalam satu pertanyaan."
962,2010-B5P14B,2010,"<blok> Pekerjaan utama </blok><pertanyaan> Jika (NAMA) beraktivitas di luar kabupaten/kota tempat tinggal, apakah ia pulang pergi ke tempat kerja setiap hari, setiap minggu, atau setiap bulan?  </pertanyaan>",2020-r16a,2020,"<blok> Data Umum Responden </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja harian Anda setelah mengurangi waktu istirahat? Nilai : </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Kedua pertanyaan tersebut membahas dimensi berbeda: satu tentang frekuensi perjalanan ke tempat kerja di luar wilayah, yang lain tentang jam kerja harian, sehingga tidak memiliki hubungan semantik langsung."
1088,2015-B5_R2A1,2015,<blok> Kegiatan minggu lalu </blok><pertanyaan> Apakah (NAMA) bekerja selama seminggu terakhir? </pertanyaan>,2015-weight,2015,<blok>Informasi Umum Responden</blok><pertanyaan>Faktor Penimbang Proyeksi Komponen Backcast 2014</pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Karena subjeknya berbeda: satu menanyakan status kerja di seminggu terakhir, yang lain menanyakan faktor penimbang proyeksi backcast 2014. Semantik dan konteks tidak saling terkait."
968,2010-B1P05,2010,<blok> Pendahuluan lokasi </blok><pertanyaan> Pengelompokan Desa/Kelurahan </pertanyaan>,2012-B5P2A1,2012,<blok> Kegiatan seminggu terakhir </blok><pertanyaan> Apakah (NAMA) bekerja dalam seminggu terakhir? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Lokasi dan klasifikasi desa/kelurahan tidak mempengaruhi status kerja seseorang; dua topik berada di domain yang berbeda (geografis vs pekerjaan).  
Pengenalan tempat dan klasifikasi desa/kelurahan juga tidak berkaitan dengan kegiatan kerja seminggu lalu karena fokusnya pada lokasi, bukan aktivitas kerja."
562,2017-b5_r48,2017,<blok>Riwayat kerja</blok><pertanyaan> Apa alasan utama (NAMA) berhenti bekerja di pekerjaan atau usaha utama selama satu tahun terakhir? </pertanyaan>,2020-r30a,2020,<blok> Riwayat pekerjaan </blok><pertanyaan> Mengapa Anda memutuskan untuk berhenti bekerja? </pertanyaan>,equivalent,equivalen,"Keduanya menanyakan alasan utama berhenti bekerja di pekerjaan utama satu tahun terakhir, sehingga makna semantik sama."
145,2010-B5P10B,2010,<blok> Pekerjaan inti </blok><pertanyaan> Berapa jumlah buruh/karyawan/pegawai yang mendapat bayaran? </pertanyaan>,2017-b5_r27b,2017,<blok> Pekerjaan utama </blok><pertanyaan> Berapa jumlah pekerja yang mendapatkan pembayaran? </pertanyaan>,equivalent,equivalen,"Semantik kedua contoh tersebut identik karena unsur‑unsur yang berhubungan dengan pekerjaan, pekerja, dan pembayaran dipertukarkan tanpa mengubah makna utama. Istilah “Pekerjaan inti” dan “Pekerjaan utama” keduanya merujuk pada tugas pokok; “buruh/karyawan/pegawai” dan “pekerja” merupakan sinonim; serta “menerima bayaran” dan “mendapatkan pembayaran” menyatakan hal yang sama. Kombinasi kata-kata ini menghasilkan makna yang setara sehingga kalimat-kalimat tersebut saling ekuivalen."
923,2012-SEK,2012,<blok> Informasi anggota keluarga </blok><pertanyaan> Kode partisipasi sekolah </pertanyaan>,2020-r16a3,2020,"<blok> Umum Responden </blok><pertanyaan> Dalam seminggu terakhir, berapa total jam kerja harian Anda setelah mengurangi waktu istirahat? Rabu : </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Pertanyaan mengenai kode partisipasi sekolah berkaitan dengan aktivitas pendidikan anggota keluarga, sedangkan pertanyaan tentang jam kerja harian responden berkaitan dengan kegiatan kerja individu. Keduanya mengukur variabel yang berbeda dan tidak saling mempengaruhi secara langsung."
406,2015-B5_R12,2015,<blok> Tugas utama </blok><pertanyaan> Bagaimana status atau posisi (NAMA) dalam tugas utama selama satu minggu terakhir? </pertanyaan>,2017-b5_r27a,2017,<blok> Tugas utama </blok><pertanyaan> Bagaimana status atau kedudukan (NAMA) di pekerjaan utama dalam satu minggu terakhir? </pertanyaan>,equivalent,equivalen,Karena semua frasa mengandung makna yang sama: “bagaimana posisi (NAMA) dalam/di pekerjaan utama” dan “status/kedudukan (NAMA) pada/di pekerjaan utama” merujuk pada kondisi atau letak (status) orang tersebut di dalam tugas/pekerjaan utama pada periode waktu satu minggu terakhir. Frasa “di/di dalam” dan “pada” serta “status” atau “kedudukan” bersifat sinonim dalam konteks ini sehingga makna kalimat tetap identik.
1150,2010-B5P21,2010,<blok> Aktivitas pencarian kerja atau persiapan usaha </blok><pertanyaan> Pekerjaan yang dipertimbangkan atau usaha yang sedang disiapkan: </pertanyaan>,2017-kode_prov,2017,<blok> Pengenalan lokasi </blok><pertanyaan> Kode daerah provinsi </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Kedua pertanyaan tidak berkaitan karena satu berfokus pada aktivitas kerja/usaha (topik pekerjaan), sedangkan yang lain berfokus pada identifikasi lokasi (kode provinsi). Topik dan konteksnya berbeda sehingga tidak ada hubungan semantik."
554,2017-b5_r43a4,2017,"<blok>Informasi Umum Responden</blok><pertanyaan>Selama tujuh hari terakhir, berapa total jam kerja Anda per hari setelah dikurangi waktu istirahat? Kamis :</pertanyaan>",2020-r20b4,2020,"<blok>Informasi Umum Responden</blok><pertanyaan>Selama tujuh hari terakhir, berapa total jam kerja Anda per hari setelah dikurangi waktu istirahat? Kamis :</pertanyaan>",equivalent,equivalen,"Kedua pasangan teks menggunakan struktur tag yang berbeda namun mengajukan pertanyaan dengan isi yang identik, sehingga makna yang disampaikan sama; tag <blok> hanya menandai bagian informasi umum dan tidak memengaruhi arti kalimat dalam <pertanyaan>."
1365,2017-kode_prov,2017,<blok> Pengenalan lokasi </blok><pertanyaan> Kode daerah provinsi </pertanyaan>,2020-r4,2020,<blok> Informasi Umum Responden </blok><pertanyaan> Bagaimana status pernikahan Anda? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Kode provinsi berhubungan dengan identifikasi lokasi geografis, sedangkan status pernikahan berkaitan dengan status pribadi responden. Kedua pertanyaan berada di domain berbeda dan tidak saling berkaitan secara semantik."
583,2010-B5P6B,2010,<blok> Aktivitas satu minggu terakhir </blok><pertanyaan> Berapa total jam kerja pada semua aktivitas setiap hari dalam minggu terakhir? </pertanyaan>,2020-r16a4,2020,"<blok> Informasi Umum Responden </blok><pertanyaan> Selama satu minggu terakhir, berapa jam kerja harian Anda setelah mengurangi waktu istirahat? Kamis : </pertanyaan>",lebih umum dari,lebih agregat,"Pertanyaan agregat meminta total jam kerja semua aktivitas setiap hari dalam seminggu, sedangkan pertanyaan spesifik hanya menanyakan jam kerja pada satu hari (Kamis). Jumlah jam kerja seminggu merupakan agregat dari jam kerja per hari, termasuk hari Kamis."
790,2015-B4_K7,2015,<blok> Informasi anggota keluarga </blok><pertanyaan> Kode partisipasi sekolah </pertanyaan>,2017-b5_r50_198,2017,<blok> Pengalaman kerja </blok><pertanyaan> Jenis usaha atau bidang pekerjaan (NAMA) apa yang Anda jalani sebelum meninggalkan pekerjaan/usaha utama terakhir? Klasifikasi Baku Jenis Pekerjaan 1982 - 1 digit </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Informasi anggota keluarga → kode partisipasi sekolah: tidak berkaitan karena satu‑satu memuat data komposisi keluarga, yang lain memuat data pendidikan.

Keterangan anggota rumah tangga → partisipasi sekolah (kode): tidak berkaitan karena keduanya memuat informasi yang tidak saling mempengaruhi satu sama lain.

Pengalaman kerja → jenis usaha sebelum berhenti: tidak berkaitan karena satu menjelaskan pengalaman kerja saat ini, satunya menjelaskan aktivitas sebelum pekerjaan utama terakhir."
788,2010-B5P3,2010,"<blok> Aktivitas seminggu terakhir </blok><pertanyaan> Apakah (NAMA) memiliki pekerjaan atau usaha, tetapi tidak bekerja pada minggu lalu? </pertanyaan>",2015-B5_R204,2015,<blok> Aktivitas mencari kerja atau menyiapkan usaha </blok><pertanyaan> Tindakan apa saja yang pernah dilakukan (NAMA) dalam mencari kerja/mempersiapkan usaha? (Berhubungan dengan keluarga/kenalan) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama menanyakan status pekerjaan atau usaha pada minggu lalu, sementara pertanyaan kedua menanyakan tindakan yang pernah dilakukan untuk mencari kerja atau menyiapkan usaha, sehingga keduanya tidak saling terkait."
414,2015-B5_R15B,2015,"<blok> Pekerjaan utama </blok><pertanyaan> Jika berada di luar kabupaten/kota tempat tinggal, apakah (NAMA) pergi dan kembali ke/dari tempat kerja setiap hari, setiap minggu atau setiap bulan?** </pertanyaan>",2017-b5_r37b,2017,"<blok> Pekerjaan utama </blok><pertanyaan> Apakah (NAMA) pergi dan pulang ke/dari tempat kerja setiap hari, setiap minggu atau setiap bulan? </pertanyaan>",equivalent,equivalen,"Karena keduanya meminta informasi tentang frekuensi perjalanan ke‑dan dari tempat kerja—baik dalam konteks di luar kabupaten/kota atau tidak—artinya tetap sama: apakah (NAMA) melakukan perjalanan tersebut setiap hari, minggu, atau bulan. Struktur kalimatnya berbeda, namun makna semantik inti tetap identik."
806,2015-B5_R21A,2015,<blok> Aktivitas mencari pekerjaan/mempersiapkan usaha </blok><pertanyaan> Seberapa lama (NAMA) mencari pekerjaan/mempersiapkan usaha baru? (Tahun) </pertanyaan>,2015-KODE_PROV,2015,<blok> Pengantar lokasi </blok><pertanyaan> NEGARA BAGIAN </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan tentang lamanya pencarian pekerjaan/mempersiapkan usaha berhubungan dengan waktu, sedangkan pertanyaan tentang negara/ provinsi berhubungan dengan lokasi geografis; topik dan konteks berbeda sehingga tidak ada hubungan semantik."
18,2010-B5P3,2010,"<blok> Aktivitas seminggu terakhir </blok><pertanyaan> Apakah (NAMA) memiliki pekerjaan atau usaha, tetapi tidak bekerja pada minggu lalu? </pertanyaan>",2012-B5P3,2012,"<blok> Aktivitas selama seminggu terakhir </blok><pertanyaan> Apakah (NAMA) memiliki pekerjaan atau usaha, namun tidak bekerja 1) selama seminggu terakhir? </pertanyaan>",equivalent,equivalen,"Keduanya menanyakan apakah seseorang memiliki pekerjaan/usaha, namun tidak bekerja pada minggu terakhir, sehingga makna semantik identik."
1303,2015-B5_R207,2015,<blok> Aktivitas mencari kerja/mempersiapkan bisnis </blok><pertanyaan> Langkah-langkah apa yang pernah dilakukan (NAMA) dalam mencari kerja/mempersiapkan bisnis? (mengurus dokumen izin) </pertanyaan>,2020-r4,2020,<blok> Informasi Umum Responden </blok><pertanyaan> Bagaimana status pernikahan Anda? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Kegiatan mencari kerja/mempersiapkan bisnis tidak berkaitan dengan status pernikahan karena  
- Aktivitas tersebut bersifat profesional/ekonomi, sedangkan status pernikahan bersifat sosial.  
- Informasi dokumen izin kerja atau izin usaha tidak memerlukan data status pernikahan.  
- Pertanyaan terkait pekerjaan/usaha dan pernikahan menanyakan dua dimensi yang tidak saling memengaruhi."
265,2012-B5P20_1,2012,<blok> Aktivitas mencari pekerjaan/mempersiapkan usaha </blok><pertanyaan> Langkah-langkah apa yang pernah dilakukan (NAMA) dalam mencari pekerjaan/mempersiapkan usaha? (Daftar di bursa kesempatan kerja) </pertanyaan>,2015-B5_R201,2015,<blok> Aktivitas pencarian kerja atau persiapan usaha </blok><pertanyaan> Langkah-langkah apa saja yang pernah dilakukan (NAMA) dalam mencari pekerjaan atau mempersiapkan usaha? (Daftar di pameran lowongan kerja) </pertanyaan>,equivalent,equivalen,"Semantik sama karena:

1. <blok> menyebut “kegiatan mencari pekerjaan/mempersiapkan usaha” dan “aktivitas pencarian kerja atau persiapan usaha” merupakan istilah yang merujuk pada proses yang sama.
2. <pertanyaan> meminta “langkah‑langkah/ upaya apa yang pernah dilakukan (NAMA) dalam mencari pekerjaan/mempersiapkan usaha” serta konteks “daftar di bursa kesempatan kerja / pameran lowongan kerja” menegaskan bahwa data yang diminta diambil dari sumber yang serupa (bursa/ pameran lowongan).  
   → Kedua pertanyaan meminta informasi yang identik tentang aktivitas yang sama, sehingga makna dan nilai data yang diperoleh tidak berbeda."
290,2012-STATK,2012,<blok> Informasi anggota keluarga </blok><pertanyaan> Status pernikahan (kode) </pertanyaan>,2017-b4_k8,2017,<blok> Data anggota rumah tangga </blok><pertanyaan> Kondisi Pernikahan (kode) </pertanyaan>,equivalent,equivalen,"Karena istilah “Informasi”, “Data”, dan “Keterangan” pada blok merujuk pada informasi tentang anggota keluarga/rumah tangga, sementara “Status pernikahan”, “Kondisi Pernikahan”, dan “Status perkawinan” merujuk pada kondisi status pernikahan. Dengan demikian pasangan blok dan pertanyaan tersebut memiliki makna semantik yang sama."
1251,2010-B5P20B,2010,<blok> Kegiatan pencarian kerja atau persiapan usaha </blok><pertanyaan> Berapa lama (NAMA) dalam pencarian kerja atau persiapan usaha? (Bulan) </pertanyaan>,2017-b5_r46,2017,<blok> Pengalaman kerja </blok><pertanyaan> Apakah (NAMA) pernah memiliki pekerjaan atau usaha utama sebelumnya? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Kedua pertanyaan mengukur aspek berbeda: satu menanyakan durasi proses pencarian/kegiatan, sementara yang lain menanyakan keberadaan pengalaman sebelumnya, sehingga tidak saling terkait."
287,2012-HUB,2012,<blok> Detail anggota keluarga </blok><pertanyaan> Relasi dengan kepala keluarga (kode) </pertanyaan>,2017-b4_k3,2017,<blok> Data anggota keluarga </blok><pertanyaan> Keterkaitan dengan Kepala Rumah Tangga </pertanyaan>,equivalent,equivalen,"Kalimat tersebut menyatakan hubungan anggota keluarga dengan kepala keluarga menggunakan variasi istilah (detail, data, keterangan) dan menyebutkan keterkaitan/hubungan (kode). Makna semantik tetap sama karena keduanya menjelaskan hubungan anggota keluarga kepada kepala rumah tangga."
1371,2017-b4_k3,2017,<blok> Data anggota keluarga </blok><pertanyaan> Keterkaitan dengan Kepala Rumah Tangga </pertanyaan>,2012-STATK,2012,<blok> Informasi anggota keluarga </blok><pertanyaan> Status pernikahan (kode) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Keterkaitan dengan Kepala Rumah Tangga merujuk pada hubungan anggota dengan kepala rumah tangga, sedangkan Status pernikahan (kode) merujuk pada status pernikahan individu; keduanya merupakan atribut berbeda dan tidak saling memengaruhi."
1222,2012-B5P22,2012,<blok> Kegiatan mencari kerja/mempersiapkan bisnis </blok><pertanyaan> Pekerjaan yang diincar atau usaha yang sedang disiapkan: </pertanyaan>,2017-b5_r26a3,2017,"<blok> Tugas utama </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja harian Anda setelah dikurangi waktu istirahat? Rabu : </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama menanyakan jenis pekerjaan/usaha yang dikejar, sedangkan pertanyaan kedua menanyakan jam kerja harian; topik berbeda, tidak saling terkait."
186,2010-SEK,2010,<blok> Informasi anggota keluarga </blok><pertanyaan> Keterlibatan sekolah (kode) </pertanyaan>,2020-r5,2020,<blok> Informasi Umum Responden </blok><pertanyaan> Apakah Anda masih bersekolah? </pertanyaan>,equivalent,equivalen,"Karena kedua format menanyakan status pendidikan responden: pertanyaan “Keterlibatan/Partisipasi sekolah (kode)” dalam konteks anggota rumah tangga setara dengan pertanyaan “Apakah Anda masih bersekolah?”/“Apakah Anda bersekolah?”, sehingga makna dan konteksnya identik."
1158,2010-JK,2010,<blok> Informasi mengenai anggota rumah tangga </blok><pertanyaan> Golongan kelamin </pertanyaan>,2015-KLASIFIKASI,2015,<blok> Pendahuluan lokasi </blok><pertanyaan> KATEGORI DESA/KELURAHAN </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Informasi mengenai anggota rumah tangga dan golongan kelamin berhubungan dengan data demografis individu, sementara pendahuluan lokasi dan kategori desa/kelurahan berhubungan dengan konteks geografis wilayah. Kedua pasangan pertanyaan tersebut tidak saling mempengaruhi karena satu berkisar pada data pribadi anggota rumah tangga, yang lain pada klasifikasi daerah tempat tinggal."
574,2010-B5P11A,2010,<blok> Pekerjaan utama </blok><pertanyaan> Berapa pendapatan bersih (NAMA) bulan lalu dari pekerjaan utama? </pertanyaan>,2017-b5_r30b1,2017,"<blok> Pekerjaan utama </blok><pertanyaan> Jika nilai R.27.a adalah 1, 5, atau 6, berapa penghasilan bersih yang diperoleh (NAMA) dalam satu bulan terakhir dari pekerjaan utama? (uang) </pertanyaan>",lebih umum dari,lebih agregat,"Pertanyaan pertama bersifat agregat karena meminta pendapatan bersih secara keseluruhan tanpa syarat atau detail, sedangkan pertanyaan kedua bersifat lebih terperinci (terbatas pada nilai R.27.a tertentu dan meminta nilai uang), sehingga lebih spesifik dan tidak menggabungkan seluruh kemungkinan data."
878,2010-HUB,2010,<blok> Detail anggota keluarga </blok><pertanyaan> Hubungan dengan pemimpin rumah tangga (kode) </pertanyaan>,2017-b5_r26a2,2017,"<blok> Tugas utama </blok><pertanyaan> Pada minggu terakhir, berapa jam kerja harian Anda setelah dikurangi waktu istirahat? Selasa : </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Kedua pasangan pertanyaan berfokus pada domain berbeda—pertanyaan pertama mengkaji hubungan status keluarga di rumah tangga, sementara pertanyaan kedua mengukur jam kerja harian. Karena tidak ada konsep atau konteks yang sama antara status keluarga dan aktivitas kerja, tidak ada hubungan semantik antara kedua pertanyaan tersebut."
1015,2015-NAMA_KAB,2015,<blok> Pengantar lokasi </blok><pertanyaan> Nama daerah kabupaten </pertanyaan>,2017-b5_r1b,2017,<blok> Ciri-ciri umum </blok><pertanyaan> Program studi/jenjang pendidikan: </pertanyaan>,tidak ada hubungan,tidak ada hubungan,Kedua pertanyaan tidak berkaitan karena satu mengacu pada lokasi geografis (nama daerah kabupaten) sedangkan yang lain mengacu pada bidang pendidikan (program studi/jenjang).
100,2010-B5P19_1,2010,<blok> Kegiatan mencari pekerjaan/mempersiapkan usaha </blok><pertanyaan> Langkah-langkah apa saja yang pernah diambil (NAMA) dalam mencari pekerjaan/mempersiapkan usaha? (Mendaftar di bursa kesempatan kerja) </pertanyaan>,2015-B5_R201,2015,<blok> Aktivitas pencarian kerja atau persiapan usaha </blok><pertanyaan> Langkah-langkah apa saja yang pernah dilakukan (NAMA) dalam mencari pekerjaan atau mempersiapkan usaha? (Daftar di pameran lowongan kerja) </pertanyaan>,equivalent,equivalen,"Kedua kalimat mengacu pada aktivitas pencarian kerja/mempersiapkan usaha, menanyakan langkah yang telah diambil, dan memberi contoh mendaftar di bursa lowongan; perbedaan hanya pada sinonim kata dan contoh, maknanya tetap sama."
640,2017-b5_r26a3,2017,"<blok> Tugas utama </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja harian Anda setelah dikurangi waktu istirahat? Rabu : </pertanyaan>",2010-B5P6B,2010,<blok> Aktivitas satu minggu terakhir </blok><pertanyaan> Berapa total jam kerja pada semua aktivitas setiap hari dalam minggu terakhir? </pertanyaan>,lebih khusus dari,lebih detail,"Karena menanyakan jam kerja harian per hari setelah dikurangi waktu istirahat, termasuk rincian hari Rabu, memberikan informasi spesifik dibandingkan hanya total jam kerja mingguan."
578,2010-B5P12B,2010,<blok> Pekerjaan utama </blok><pertanyaan> Berapa total penghasilan bersih yang diterima (NAMA) dalam satu bulan terakhir dari pekerjaan utama? (berupa Barang) </pertanyaan>,2017-b5_r30c12,2017,"<blok> Pekerjaan utama </blok><pertanyaan> Apabila nilai R.27.a adalah 4, berapa pendapatan bersih (NAMA) yang diperoleh dalam satu bulan terakhir dari pekerjaan utama? (barang) </pertanyaan>",lebih umum dari,lebih agregat,"Karena pertanyaan pertama menanyakan seluruh pendapatan bersih (gaji utama) yang merupakan komponen penyusun pendapatan secara umum, sedangkan pertanyaan kedua menanyakan secara spesifik komponen tambahan seperti lembur, transportasi, dan makan dalam bentuk uang."
1112,2010-B5P14C,2010,<blok> Pekerjaan inti </blok><pertanyaan> Berapa jarak perjalanan antara rumah dan tempat kerja? </pertanyaan>,2017-b5_r19i,2017,"<blok> Aktivitas mencari pekerjaan/mempersiapkan usaha </blok>
<pertanyaan> Langkah apa yang diambil (NAMA) dalam upaya mencari pekerjaan atau mempersiapkan usaha selama seminggu/seminggu terakhir? Selain itu, harap tuliskan: </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Kedua pertanyaan mengacu pada situasi kerja yang berbeda: satu tentang pekerjaan inti dan jarak tempuhnya, lain tentang upaya mencari pekerjaan atau mempersiapkan usaha. Karena status kerja, aktivitas, dan konteksnya berbeda, tidak ada hubungan semantik."
632,2017-b5_r30c21,2017,"<blok> Pekerjaan pokok </blok><pertanyaan> Gaji lembur, tunjangan transportasi, dan uang makan: (uang) </pertanyaan>",2020-r14a1,2020,<blok> Umum Responden </blok><pertanyaan> Berapa jumlah penghasilan bersih yang Anda peroleh selama satu bulan terakhir dari pekerjaan ini? Uang: </pertanyaan>,lebih khusus dari,lebih detail,"Karena pertanyaan pertama memecah gaji menjadi komponen (upah lembur, tunjangan transportasi, dan uang makan) sedangkan pertanyaan kedua hanya meminta total penghasilan bersih."
86,2010-B5P12B,2010,<blok> Pekerjaan utama </blok><pertanyaan> Berapa total penghasilan bersih yang diterima (NAMA) dalam satu bulan terakhir dari pekerjaan utama? (berupa Barang) </pertanyaan>,2015-B5_R13B,2015,<blok> Pekerjaan utama </blok><pertanyaan> Berapa total gaji bersih yang diterima (NAMA) dalam sebulan terakhir dari pekerjaan utama? (berupa Barang)  </pertanyaan>,equivalent,equivalen,Kedua kalimat memiliki arti semantik yang sama karena menggunakan sinonim dan struktur yang setara.
